match_id,match_type,teams,date,city,venue,has_innings_data,innings_count,total_deliveries
1343743,T20,Botswana|Seychelles,2022-11-17,Kigali City,Integrated Polytechnic Regional Centre,True,1,96
1044211,T20,Sri Lanka|Australia,2016-09-27,Colombo,Sinhalese Sports Club Ground,True,2,171
1257184,T20,Zimbabwe|Pakistan,2021-04-23,Harare,Harare Sports Club,True,2,246
1289043,T20,Kenya|Uganda,2021-11-17,Kigali City,Integrated Polytechnic Regional Centre,True,2,254
1150533,T20,India|New Zealand,2018-11-09,Guyana,Providence Stadium,True,2,244
1394777,T20,Thailand|Nepal,2023-09-08,Bangi,"UKM-YSD Cricket Oval, Bangi",True,2,244
1436485,T20,Portugal|Israel,2024-06-13,Spinaceto,Roma Cricket Ground,True,2,249
1207082,T20,Spain|Germany,2020-03-08,Almeria,Desert Springs Cricket Ground,True,2,248
1284489,T20,Maldives|Saudi Arabia,2021-10-23,Doha,"West End Park International Cricket Stadium, Doha",True,2,221
1318393,T20,Botswana|Rwanda,2022-06-15,Kigali City,Gahanga International Cricket Stadium. Rwanda,True,2,231
1425641,T20,Zimbabwe|Vanuatu,2024-04-25,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",True,2,191
1400982,T20,Nigeria|Ghana,2023-10-10,Lagos,"Tafawa Balewa Square Cricket Oval, Lagos",True,2,218
902649,T20,England|Pakistan,2015-11-26,,Dubai International Cricket Stadium,True,2,248
1415736,T20,Ireland|Pakistan,2024-06-16,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",True,2,239
1387245,T20,Guernsey|Germany,2023-08-15,Deventer,"Sportpark Het Schootsveld, Deventer",True,2,253
1286976,T20,United Arab Emirates|Bhutan,2021-11-25,Dubai,"ICC Academy Ground No 2, Dubai",True,2,256
1423470,T20,Uganda|Rwanda,2024-03-10,Accra,"Achimota Senior Secondary School B Field, Accra",True,2,254
1422042,T20,Namibia|Netherlands,2024-03-03,Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",True,1,90
1418543,T20,China|Hong Kong,2024-02-16,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong",True,2,110
1419918,T20,Singapore|Myanmar,2024-02-11,Bangi,"YSD-UKM Cricket Oval, Bangi",True,2,248
1335790,T20,India|Malaysia,2022-10-03,Sylhet,"Sylhet International Cricket Stadium, Academy Ground",True,2,161
1468725,T20,Nepal|Thailand,2025-02-01,Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",True,2,245
1432435,T20,Pakistan|Australia,2024-10-11,Dubai,Dubai International Cricket Stadium,True,2,191
1394776,T20,United Arab Emirates|Hong Kong,2023-09-08,Kuala Lumpur,"Bayuemas Oval, Kuala Lumpur",True,2,227
1298143,T20,Sri Lanka|Netherlands,2022-10-20,Geelong,"GMHBA Stadium, South Geelong, Victoria",True,2,247
1208613,T20,Nepal|Maldives,2019-12-09,Kirtipur,Tribhuvan University International Cricket Ground,True,2,220
1286671,T20,Bahamas|Argentina,2021-11-08,North Sound,"Sir Vivian Richards Stadium, North Sound, Antigua",True,2,244
1334419,T20,West Indies|New Zealand,2022-10-06,North Sound,"Sir Vivian Richards Stadium, North Sound, Antigua",True,2,243
